Idpt	xcoord	ycoord
1	782641.150728239	9925655.40185161
2	782640.014580161	9925650.53264556
3	782638.878432083	9925645.66343951
4	782637.742284005	9925640.79423347
5	782636.606135927	9925635.92502742
6	782635.469987849	9925631.05582137
7	782634.333839771	9925626.18661532
8	782633.197691693	9925621.31740927
9	782632.061543615	9925616.44820322
10	782630.925395537	9925611.57899717
11	782629.789247459	9925606.70979112
12	782628.653099381	9925601.84058508
13	782627.516951303	9925596.97137903
14	782626.380803224	9925592.10217298
15	782625.244655146	9925587.23296693
16	782624.108507068	9925582.36376088
17	782622.97235899	9925577.49455483
18	782621.836210912	9925572.62534878
19	782620.700062834	9925567.75614273
20	782619.563914756	9925562.88693669
21	782618.427766678	9925558.01773064
22	782617.2916186	9925553.14852459
23	782616.155470522	9925548.27931854
24	782615.019322444	9925543.41011249
25	782613.883174366	9925538.54090644
26	782612.747026288	9925533.67170039
27	782611.61087821	9925528.80249435
28	782610.474730132	9925523.9332883
29	782609.338582054	9925519.06408225
30	782608.202433976	9925514.1948762
31	782607.066285898	9925509.32567015
32	782605.93013782	9925504.4564641
33	782604.793989742	9925499.58725805
34	782603.657841664	9925494.718052
35	782602.521693586	9925489.84884595
36	782601.385545508	9925484.97963991
37	782600.24939743	9925480.11043386
38	782599.113249352	9925475.24122781
39	782597.977101274	9925470.37202176
40	782596.840953196	9925465.50281571
41	782595.704805118	9925460.63360966
42	782594.56865704	9925455.76440361
43	782593.432508962	9925450.89519756
44	782592.296360884	9925446.02599152
45	782591.160212805	9925441.15678547
46	782590.024064727	9925436.28757942
47	782588.887916649	9925431.41837337
48	782587.751768571	9925426.54916732
49	782586.615620493	9925421.67996127
50	782585.479472415	9925416.81075522
51	782584.343324337	9925411.94154918
52	782583.207176259	9925407.07234313
53	782582.071028181	9925402.20313708
54	782580.934880103	9925397.33393103
55	782579.798732025	9925392.46472498
56	782578.662583947	9925387.59551893
57	782577.526435869	9925382.72631288
58	782576.390287791	9925377.85710683
59	782575.254139713	9925372.98790079
60	782574.117991635	9925368.11869474
61	782572.981843557	9925363.24948869
62	782571.845695479	9925358.38028264
63	782570.709547401	9925353.51107659
64	782569.573399323	9925348.64187054
65	782568.437251245	9925343.77266449
66	782567.301103167	9925338.90345844
67	782566.164955089	9925334.0342524
68	782565.028807011	9925329.16504635
69	782563.892658933	9925324.2958403
70	782562.756510855	9925319.42663425
71	782561.620362777	9925314.5574282
72	782560.484214699	9925309.68822215
73	782559.348066621	9925304.8190161
74	782558.211918543	9925299.94981006
75	782557.075770464	9925295.08060401
76	782555.939622386	9925290.21139796
77	782554.803474308	9925285.34219191
78	782553.66732623	9925280.47298586
79	782552.531178152	9925275.60377981
80	782551.395030074	9925270.73457376
81	782550.258881996	9925265.86536771
82	782549.122733918	9925260.99616167
83	782547.98658584	9925256.12695562
84	782546.850437762	9925251.25774957
85	782545.714289684	9925246.38854352
86	782544.578141606	9925241.51933747
87	782543.441993528	9925236.65013142
88	782542.30584545	9925231.78092537
89	782541.169697372	9925226.91171932
90	782540.033549294	9925222.04251328
91	782538.897401216	9925217.17330723
92	782537.761253138	9925212.30410118
93	782536.62510506	9925207.43489513
94	782535.488956982	9925202.56568908
95	782534.352808904	9925197.69648303
96	782533.216660826	9925192.82727698
97	782532.080512748	9925187.95807094
98	782530.94436467	9925183.08886489
99	782529.808216592	9925178.21965884
100	782528.672068514	9925173.35045279
101	782527.535920436	9925168.48124674
102	782526.399772358	9925163.61204069
103	782525.26362428	9925158.74283464
104	782524.127476202	9925153.87362859
105	782522.991328124	9925149.00442255
106	782521.855180045	9925144.1352165
107	782520.719031967	9925139.26601045
108	782519.582883889	9925134.3968044
109	782518.446735811	9925129.52759835
110	782517.310587733	9925124.6583923
111	782516.174439655	9925119.78918625
112	782515.038291577	9925114.9199802
113	782513.902143499	9925110.05077416
114	782512.765995421	9925105.18156811
115	782511.629847343	9925100.31236206
116	782510.493699265	9925095.44315601
117	782509.357551187	9925090.57394996
118	782508.221403109	9925085.70474391
119	782507.085255031	9925080.83553786
120	782505.949106953	9925075.96633182
121	782504.812958875	9925071.09712577
122	782503.676810797	9925066.22791972
123	782502.540662719	9925061.35871367
124	782501.404514641	9925056.48950762
125	782500.268366563	9925051.62030157
126	782499.132218485	9925046.75109552
127	782497.996070407	9925041.88188947
128	782496.859922329	9925037.01268343
129	782495.723774251	9925032.14347738
130	782494.587626173	9925027.27427133
131	782493.451478095	9925022.40506528
132	782492.315330017	9925017.53585923
133	782491.179181939	9925012.66665318
134	782490.043033861	9925007.79744713
135	782488.906885783	9925002.92824108
136	782487.770737705	9924998.05903503
137	782486.634589627	9924993.18982899
138	782485.498441549	9924988.32062294
139	782484.36229347	9924983.45141689
140	782483.226145392	9924978.58221084
141	782482.089997314	9924973.71300479
142	782480.953849236	9924968.84379874
143	782479.817701158	9924963.9745927
144	782478.68155308	9924959.10538665
145	782477.545405002	9924954.2361806
146	782476.409256924	9924949.36697455
147	782475.273108846	9924944.4977685
148	782474.136960768	9924939.62856245
149	782473.00081269	9924934.7593564
150	782471.864664612	9924929.89015035
151	782470.728516534	9924925.0209443
152	782469.592368456	9924920.15173826
153	782468.456220378	9924915.28253221
154	782467.3200723	9924910.41332616
155	782466.183924222	9924905.54412011
156	782465.047776144	9924900.67491406
157	782463.911628066	9924895.80570801
158	782462.775479988	9924890.93650196
159	782461.63933191	9924886.06729591
160	782460.503183832	9924881.19808987
161	782459.367035754	9924876.32888382
162	782458.230887676	9924871.45967777
163	782457.094739598	9924866.59047172
164	782455.95859152	9924861.72126567
165	782454.822443442	9924856.85205962
166	782453.686295364	9924851.98285357
167	782452.550147286	9924847.11364753
168	782451.413999208	9924842.24444148
169	782450.27785113	9924837.37523543
170	782449.141703052	9924832.50602938
171	782448.005554973	9924827.63682333
172	782446.869406895	9924822.76761728
173	782445.733258817	9924817.89841123
174	782444.597110739	9924813.02920518
175	782443.460962661	9924808.15999914
176	782442.324814583	9924803.29079309
177	782441.188666505	9924798.42158704
178	782440.052518427	9924793.55238099
179	782438.916370349	9924788.68317494
180	782437.780222271	9924783.81396889
181	782436.644074193	9924778.94476284
182	782435.507926115	9924774.07555679
183	782434.371778037	9924769.20635075
184	782433.235629959	9924764.3371447
185	782432.099481881	9924759.46793865
186	782430.963333803	9924754.5987326
187	782429.827185725	9924749.72952655
188	782428.691037647	9924744.8603205
189	782427.554889569	9924739.99111445
190	782426.418741491	9924735.12190841
191	782425.282593413	9924730.25270236
192	782424.146445335	9924725.38349631
193	782423.010297257	9924720.51429026
194	782421.874149179	9924715.64508421
195	782420.738001101	9924710.77587816
196	782419.601853023	9924705.90667211
197	782418.465704945	9924701.03746606
198	782417.329556867	9924696.16826002
199	782416.193408789	9924691.29905397
200	782415.057260711	9924686.42984792
201	782413.921112632	9924681.56064187
202	782412.784964554	9924676.69143582
203	782411.648816476	9924671.82222977
204	782410.512668398	9924666.95302372
205	782409.37652032	9924662.08381767
206	782408.240372242	9924657.21461163
207	782407.104224164	9924652.34540558
208	782405.968076086	9924647.47619953
209	782404.831928008	9924642.60699348
210	782403.69577993	9924637.73778743
211	782402.559631852	9924632.86858138
212	782401.423483774	9924627.99937533
213	782400.287335696	9924623.13016929
214	782399.151187618	9924618.26096324
215	782398.01503954	9924613.39175719
216	782396.878891462	9924608.52255114
217	782395.742743384	9924603.65334509
218	782394.606595306	9924598.78413904
219	782393.470447228	9924593.91493299
220	782392.33429915	9924589.04572694
221	782391.198151072	9924584.1765209
222	782390.062002994	9924579.30731485
223	782388.925854916	9924574.4381088
224	782387.789706838	9924569.56890275
225	782386.65355876	9924564.6996967
226	782385.517410682	9924559.83049065
227	782384.381262604	9924554.9612846
228	782383.245114526	9924550.09207855
229	782382.108966448	9924545.2228725
230	782380.97281837	9924540.35366646
231	782379.836670291	9924535.48446041
232	782378.700522213	9924530.61525436
233	782377.564374135	9924525.74604831
234	782376.428226057	9924520.87684226
235	782375.292077979	9924516.00763621
236	782374.155929901	9924511.13843017
237	782373.019781823	9924506.26922412
238	782371.883633745	9924501.40001807
239	782370.747485667	9924496.53081202
240	782369.611337589	9924491.66160597
241	782368.475189511	9924486.79239992
242	782367.339041433	9924481.92319387
243	782366.202893355	9924477.05398782
244	782365.066745277	9924472.18478177
245	782363.930597199	9924467.31557573
246	782362.794449121	9924462.44636968
247	782361.658301043	9924457.57716363
248	782360.522152965	9924452.70795758
249	782359.386004887	9924447.83875153
250	782358.249856809	9924442.96954548
251	782357.113708731	9924438.10033943
252	782355.977560653	9924433.23113338
253	782354.841412575	9924428.36192734
254	782353.705264497	9924423.49272129
255	782352.569116419	9924418.62351524
256	782351.432968341	9924413.75430919
257	782350.296820263	9924408.88510314
258	782349.160672185	9924404.01589709
259	782348.024524107	9924399.14669104
260	782346.888376029	9924394.277485
261	782345.752227951	9924389.40827895
262	782344.616079873	9924384.5390729
263	782343.479931795	9924379.66986685
264	782342.343783716	9924374.8006608
265	782341.207635638	9924369.93145475
266	782340.07148756	9924365.0622487
267	782338.935339482	9924360.19304265
268	782337.799191404	9924355.32383661
269	782336.663043326	9924350.45463056
