njear	nrios	ntramo	ndist	xcoor	ycoor	dx	dt
1	171	0	0	781190.230494	9922160.699494	30	0
1	171	0	45	781161.230494	9922131.699494	45	0
1	171	0	90	781132.230494	9922102.699494	45	0
1	171	0	120	781103.230494	9922102.699494	30	0
1	171	0	165	781074.230494	9922073.699494	45	0
1	171	0	195	781045.230494	9922073.699494	30	0
1	171	0	225	781016.230494	9922073.699494	30	0
1	171	0	270	780987.230494	9922102.699494	45	0
1	171	0	300	780958.230494	9922102.699494	30	0
1	171	0	330	780929.230494	9922102.699494	30	0
1	171	0	360	780900.230494	9922102.699494	30	0
1	171	0	405	780871.230494	9922131.699494	45	0
1	171	0	435	780842.230494	9922131.699494	30	0
1	171	0	480	780813.230494	9922160.699494	45	0
1	171	0	510	780784.230494	9922160.699494	30	0
1	171	0	540	780755.230494	9922160.699494	30	0
1	171	0	570	780726.230494	9922160.699494	30	0
1	171	0	615	780697.230494	9922189.699494	45	0
1	171	0	645	780668.230494	9922189.699494	30	0
1	171	0	675	780639.230494	9922189.699494	30	0
1	171	0	705	780610.230494	9922189.699494	30	0
1	171	0	734.99	780581.230494	9922189.699494	30	0
1	171	0	764.99	780552.230494	9922189.699494	30	0
1	171	0	794.99	780523.230494	9922189.699494	30	0
1	171	0	839.99	780494.230494	9922160.699494	45	0
1	171	0	869.99	780465.230494	9922160.699494	30	0
1	171	0	899.99	780436.230494	9922160.699494	30	0
1	171	0	929.99	780407.230494	9922160.699494	30	0
1	171	0	974.99	780378.230494	9922189.699494	45	0
1	171	0	1019.99	780349.230494	9922218.699494	45	0
1	171	0	1049.99	780320.230494	9922218.699494	30	0
1	171	0	1079.99	780291.230494	9922218.699494	30	0
1	171	0	1109.99	780262.230494	9922218.699494	30	0
1	171	0	1139.99	780233.230494	9922218.699494	30	0
1	171	0	1169.99	780204.230494	9922218.699494	30	0
1	171	0	1199.99	780175.230494	9922218.699494	30	0
1	171	0	1244.99	780146.230494	9922247.699494	45	0
1	171	0	1289.99	780117.230494	9922276.699494	45	0
1	171	0	1319.99	780088.230494	9922276.699494	30	0
1	171	0	1349.99	780030.230494	9922247.699494	30	0
1	171	0	1394.99	780001.230494	9922218.699494	45	0
1	171	0	1424.99	779972.230494	9922218.699494	30	0
1	171	0	1454.99	779943.230494	9922218.699494	30	0
1	171	0	1484.99	779914.230494	9922218.699494	30	0
1	171	0	1514.99	779885.230494	9922218.699494	30	0
1	171	0	1559.99	779856.230494	9922189.699494	45	0
1	171	0	1604.99	779827.230494	9922160.699494	45	0
1	171	0	1634.99	779798.230494	9922160.699494	30	0
1	171	0	1679.99	779769.230494	9922131.699494	45	0
1	171	0	1709.99	779740.230494	9922131.699494	30	0
1	171	0	1754.99	779711.230494	9922102.699494	45	0
1	171	0	1799.99	779682.230494	9922073.699494	45	0
1	171	0	1844.99	779653.230494	9922044.699494	45	0
1	171	0	1889.99	779624.230494	9922073.699494	45	0
1	171	0	1919.99	779595.230494	9922073.699494	30	0
1	171	0	1964.99	779566.230494	9922102.699494	45	0
1	171	0	2009.99	779537.230494	9922073.699494	45	0
1	171	0	2039.98	779508.230494	9922073.699494	30	0
1	171	0	2069.98	779479.230494	9922073.699494	30	0
1	171	0	2099.98	779450.230494	9922073.699494	30	0
1	171	0	2129.98	779421.230494	9922073.699494	30	0
1	171	0	2159.98	779392.230494	9922073.699494	30	0
1	171	0	2204.98	779363.230494	9922102.699494	45	0
1	171	0	2234.98	779334.230494	9922102.699494	30	0
1	171	0	2264.98	779305.230494	9922102.699494	30	0
1	171	0	2309.98	779276.230494	9922131.699494	45	0
1	171	0	2339.98	779247.230494	9922131.699494	30	0
1	171	0	2369.98	779218.230494	9922131.699494	30	0
